Fecha ,Tasa ,IPC
20/09/2008,1712.88,69.06
21/09/2008,1712.07,69.06
22/09/2008,1711.27,69.06
23/09/2008,1710.46,69.06
24/09/2008,1709.66,69.06
25/09/2008,1708.85,69.06
26/09/2008,1708.05,69.06
27/09/2008,1707.24,69.06
28/09/2008,1706.44,69.06
29/09/2008,1705.63,69.06
30/09/2008,1704.83,69.06
1/10/2008,1704.02,69.30
2/10/2008,1703.22,69.30
3/10/2008,1702.41,69.30
4/10/2008,1701.61,69.30
5/10/2008,1700.80,69.30
6/10/2008,2160.08,69.30
7/10/2008,2250.73,69.30
8/10/2008,2261.96,69.30
9/10/2008,2326.41,69.30
10/10/2008,2254.24,69.30
11/10/2008,2318.63,69.30
12/10/2008,2318.63,69.30
13/10/2008,2318.63,69.30
14/10/2008,2318.63,69.30
15/10/2008,2223.94,69.30
16/10/2008,2316.54,69.30
17/10/2008,2304.68,69.30
18/10/2008,2271.98,69.30
19/10/2008,2271.98,69.30
20/10/2008,2271.98,69.30
21/10/2008,2243.49,69.30
22/10/2008,2296.32,69.30
23/10/2008,2346.47,69.30
24/10/2008,2361.01,69.30
25/10/2008,2386.48,69.30
26/10/2008,2386.48,69.30
27/10/2008,2386.48,69.30
28/10/2008,2379.24,69.30
29/10/2008,2382.31,69.30
30/10/2008,2374.10,69.30
31/10/2008,2359.52,69.30
1/11/2008,2392.28,69.49
2/11/2008,2392.28,69.49
3/11/2008,2392.28,69.49
4/11/2008,2392.28,69.49
5/11/2008,2351.56,69.49
6/11/2008,2327.78,69.49
7/11/2008,2342.65,69.49
8/11/2008,2317.34,69.49
9/11/2008,2317.34,69.49
10/11/2008,2317.34,69.49
11/11/2008,2281.24,69.49
12/11/2008,2281.24,69.49
13/11/2008,2335.02,69.49
14/11/2008,2329.82,69.49
15/11/2008,2308.65,69.49
16/11/2008,2308.65,69.49
17/11/2008,2308.65,69.49
18/11/2008,2308.65,69.49
19/11/2008,2329.90,69.49
20/11/2008,2342.18,69.49
21/11/2008,2359.26,69.49
22/11/2008,2355.71,69.49
23/11/2008,2355.71,69.49
24/11/2008,2355.71,69.49
25/11/2008,2314.72,69.49
26/11/2008,2307.37,69.49
27/11/2008,2324.10,69.49
28/11/2008,2324.10,69.49
29/11/2008,2318.00,69.49
30/11/2008,2318.00,69.49
1/12/2008,2318.00,69.80
2/12/2008,2320.12,69.80
3/12/2008,2315.35,69.80
4/12/2008,2317.48,69.80
5/12/2008,2323.28,69.80
6/12/2008,2333.54,69.80
7/12/2008,2333.54,69.80
8/12/2008,2333.54,69.80
